s,County,Project,Location,start_lat,start_lng,end_lat,end_lng,Census Tract(s),CalEnviroScreeen Score,City,Route,Begin_PM,End_PM,CCA_FY,Num_Business_Demolished,Num_Home_Demolished,Total_Relocations,Housing Burden By Census Tract ,% racial demographics,Assemblymember 1,Assemblymember 2,Assemblymember 3,Assemblymember 4,Senator 1,Senator 2,Senator 3,latitude,longitude
6000000382,Fresno,"State Route 180, 2021 (Project ID 6000000382",Centerville/ Minkler,36.73511412,-119.5018571,36.73477019,-119.5019429,"6019006300, 6019005906 ",64th Percentile and 36th Percentile,Minkler ,180,77.2,77.2,2021,0,4,4,"25th percentile, 8th percentile",White: 44.68% | Hispanic: 43.83% | Asian American: 6.37 | Other: 4.68% / White: 51.42% | Hispanic: 31.07% | Asian American: 16.07% | Other 1.15%,Tangipa (AD 8),,,,Caballero (SD 14),,,36.8411,-119.801
8000000282,San Bernardino,"State Route 215, 2021 (Project ID 8000000282)",City of Grand Terrace,34.03383131,-117.3249593,,,6071007107,83rd Percentile ,Grand Terrece/Colton,215,0.6,1.7,2021,3,0,3,91st percentile,Hispanic: 60.29%| White: 19.39% | AA: 16.75% Asian: 3.28% | Other: 0.3%,Castillo (AD 58),,,,Ochoa Bogh (SD 23),,,34.18582,-117.179
7000000107,Los Angeles,"Interstate 405, 2020 (Project ID 7000000107)",Los Angeles,34.03166806,-118.4333783,34.15894675,-118.4699506,"6037271200, 6037128910","69th Percentile, 65th Percentile",Los Angeles ,405,28,39,2020,3,20,23,"63rd percentile , 57th percentile",White: 39.17% | Hispanic: 35.63% | Asian: 17.55% | AA: 4.87% | Other 2.78% \ White: 61.61% | Hispanic: 15.74% | Asian: 8.44% | Other: 7.15% | AA: 7.08%,Schultz (AD 44), Zbur (AD 51),Irwin (AD 42),Gabriel (AD 46),Allen (SD 24),Smallwood-Cuevas (SD 28),Stern (SD 27),34.09187,-117.983
,Butte,"State Route 162, 2024 (Project ID 317000166) ",Oroville,39.502725,-121.529566,39.507928,-121.506914,"06007003001, 06007003100",65th percentile,Oroville ,18.4,18.4,19.9,,0,2,2,70th percentile ,,Gallagher (AD 3) ,,,,Dahle (SD 1),,,,
,El Dorado,"Highway 50, 2024 (Project ID 319000068) ",Placerville and Camino,38.7348,-120.7355,38.7412,-120.713,"06017031100, 06017031301",34th percentile,Placerville & Camino,21.9,21.9,24.45,,0,1,1,30th percentile,,Patterson (AD 5) ,,,,Alvarado-Gil (SD 4),,,,
,Butte,"State Route 70, 2024 (Project ID 321000091) ",Oroville,39.511608,-121.556725,39.3637773,-121.6935833,"06007002800, 06007003400",73rd percentile,Oroville ,0,0,3.8,,0,2,2,89th percentile,,Gallagher (AD 3) ,,,,Dahle (SD 1),,,,
,Yuba,"State Route 70, 2024  (Project ID 321000092) ",Marysville,39.169291,-121.603102,39.329167,-121.533889,"06007003300, 06115040100",90th percentile,Marysville,16.2,16.2,25.8,,0,8,8,69th percentile,,Gallagher (AD 3) ,,,,Brian Dahle (SD 1) ,,,,
,Sonoma,"Highway 101, 2024  (Project ID 400020132) ",Sonoma,38.244923,-122.626991,38.268042,-122.655392,"06097150603, 06097150609",34th percentile,Petaluma,4,4,7.1,,2,4,6,29th percentile,,Rogers (AD 2) ,,,,McGuire (SD 2) ,,,,
,Santa Cruz,"Highway 1, 2024  (Project ID 500020105) ",Santa Cruz ,36.974117,-122.030792,36.974117,-122.030792,6087100700,39th percentile,Santa Cruz ,17.5,17.5,17.7,,0,1,1,64th percentile,,Rivas (AD,Pellerin (AD,Addis (AD,,Padilla (SD,Schiff (SD ,,,
,Kern,"State Route, 2024 (Project ID 612000176) ",Lost Hills,35.55777778,-119.6663889,35.616348,-119.694298,6029004500,86th percentile,Lost Hills ,29.7,29.7,31.9,,2,2,4,40th percentile,,Ellis (AD 32) ,,,,Grove (SD 16),,,,
,Riverside,"Route 91, 2024 (Project ID 800000136) ",Orange/Riverside County line ,33.841667,-117.675,33.866669,-117.566666,"06059021924, 06065041812",23rd percentile,Corona,0,0,13.04,,88,136,224,55th percentile,,Patel (AD 76) ,Sanchez (AD 71) ,,,Cervantes (SD 31) ,,,,
